Id,early_days,late_days,early_steps,late_steps,avg_sedentary_mins,step_decline_pct,engagement_risk
2347167796,15,3,10296.7,5634.7,,45.3,High Risk
8253242879,15,4,6930.1,4802.5,,30.7,High Risk
3372868164,15,5,7090.3,6175.6,,12.9,High Risk
7007744171,15,11,12152.8,10192.5,,16.1,Low Risk
6775888955,15,11,3543.1,1124.2,,68.3,Medium Risk
6117666160,15,13,7917.7,6041.8,,23.7,Medium Risk
8792009665,15,14,1477,2257.4,,-52.8,Low Risk
6290855005,15,14,5690.1,5606.1,,1.5,Low Risk
1644430081,15,15,7215.3,7350.7,,-1.9,Low Risk
5577150313,15,15,9754.3,6854.6,,29.7,Medium Risk
3977333714,15,15,10592.7,11376.5,,-7.4,Low Risk
1624580081,15,16,6004.7,5499.4,,8.4,Low Risk
4319703577,15,16,6209,8262.4,,-33.1,Low Risk
4388161847,15,16,9987.6,11588.6,,-16,Low Risk
4445114986,15,16,4241.9,5316.5,,-25.3,Low Risk
4558609924,15,16,7787.6,7589.1,,2.5,Low Risk
4702921684,15,16,8702.6,8449.7,,2.9,Low Risk
5553957443,15,16,8742.2,8491.1,,2.9,Low Risk
4020332650,15,16,839.3,3605.9,,-329.7,Low Risk
2873212765,15,16,7858.5,7272,,7.5,Low Risk
2320127002,15,16,5560.6,3925.9,,29.4,Medium Risk
6962181067,15,16,10246.2,9371.6,,8.5,Low Risk
2026352035,15,16,4406.5,6654.7,,-51,Low Risk
7086361926,15,16,7719.1,10921.2,,-41.5,Low Risk
2022484408,15,16,11866.9,10905.4,,8.1,Low Risk
8378563200,15,16,10839.4,6728.6,,37.9,Medium Risk
8583815059,15,16,6016.5,8306.7,,-38.1,Low Risk
1927972279,15,16,901.2,930.1,,-3.2,Low Risk
1844505072,15,16,3542.9,1677.4,,52.7,Medium Risk
8877689391,15,16,17151.3,14998.2,,12.6,Low Risk
1503960366,15,16,12111,12122.1,,-0.1,Low Risk
8053475328,15,16,17461.3,12233.9,,29.9,Medium Risk
